Week Start Date,Product ID,Product Name,Units Sold,Price ($),Discount Percentage,Revenue ($),Region
2024-01-21,37,Standing Desk,16,309.71,6.91,4612.94,USA
2024-01-21,38,Ladder Shelf,88,1246.16,15.46,92708.32,USA
2024-01-21,39,Bookcase,39,371.43,15.28,12272.34,USA
2024-01-21,40,Vanity Table,43,1975.19,0.0,84933.17,USA
2024-01-21,41,Makeup Chair,68,1941.33,26.05,97621.72,USA
2024-01-21,42,Chest of Drawers,15,121.8,0.0,1827.0,USA
2024-01-21,43,Entryway Table,12,1398.84,18.36,13704.16,USA
2024-01-21,44,Hall Tree,25,1133.09,24.22,21466.39,USA
2024-01-21,45,Gaming Chair,7,786.81,0.0,5507.67,USA
2024-01-21,46,Bean Bag,66,1910.4,0.0,126086.4,USA
2024-01-21,47,Murphy Bed,45,1255.35,0.0,56490.75,USA
2024-01-21,48,Plant Stand,28,1021.42,16.91,23763.54,USA
2024-01-21,49,Shoe Rack,31,1641.95,0.0,50900.45,USA
2024-01-21,50,Coat Rack,45,311.33,5.72,13208.49,USA
2024-01-28,1,Sofa,68,1296.75,25.13,66019.62,USA
2024-01-28,2,Dining Table,46,733.65,0.0,33747.9,USA
2024-01-28,3,Chair,55,227.45,0.0,12509.75,USA
2024-01-28,4,Bed Frame,31,1578.12,0.0,48921.72,USA
2024-01-28,5,Nightstand,25,1901.57,8.68,43412.84,USA
2024-01-28,6,Bookshelf,15,1549.39,0.0,23240.85,USA
2024-01-28,7,TV Stand,22,1010.61,0.0,22233.42,USA
2024-01-28,8,Coffee Table,52,197.93,0.0,10292.36,USA
2024-01-28,9,Recliner,12,830.59,0.0,9967.08,USA
2024-01-28,10,Dresser,49,724.05,0.0,35478.45,USA
2024-01-28,11,Wardrobe,37,1947.57,0.0,72060.09,USA
2024-01-28,12,Office Desk,37,379.42,0.0,14038.54,USA
2024-01-28,13,Computer Chair,57,1119.99,0.0,63839.43,USA
2024-01-28,14,Futon,45,301.06,0.0,13547.7,USA
2024-01-28,15,End Table,51,1608.85,0.0,82051.35,USA
2024-01-28,16,Bar Stool,60,356.11,0.0,21366.6,USA
2024-01-28,17,Patio Set,28,1622.09,0.0,45418.52,USA
2024-01-28,18,Sideboard,48,1096.35,0.0,52624.8,USA
2024-01-28,19,Loveseat,32,769.38,16.56,20543.06,USA
2024-01-28,20,Chaise Lounge,40,338.09,0.0,13523.6,USA
2024-01-28,21,Sectional Sofa,63,1047.77,0.0,66009.51,USA
2024-01-28,22,File Cabinet,61,1088.6,0.0,66404.6,USA
2024-01-28,23,Console Table,46,405.45,19.1,15088.42,USA
2024-01-28,24,Bench,43,688.62,7.99,27244.77,USA
2024-01-28,25,Hutch,33,974.24,0.0,32149.92,USA
2024-01-28,26,Buffet,18,219.49,0.0,3950.82,USA
2024-01-28,27,Storage Ottoman,61,1193.74,0.0,72818.14,USA
2024-01-28,28,Accent Chair,73,758.01,0.0,55334.73,USA
2024-01-28,29,Bunk Bed,37,694.18,0.0,25684.66,USA
2024-01-28,30,Mattress,22,348.08,0.0,7657.76,USA
2024-01-28,31,Headboard,19,221.38,0.0,4206.22,USA
2024-01-28,32,Room Divider,60,206.46,0.0,12387.6,USA
2024-01-28,33,Floating Shelves,22,1994.65,0.0,43882.3,USA
2024-01-28,34,Kitchen Island,63,1737.74,0.0,109477.62,USA
2024-01-28,35,Rolling Cart,18,1353.85,0.0,24369.3,USA
2024-01-28,36,Foldable Table,45,979.41,0.0,44073.45,USA
2024-01-28,37,Standing Desk,24,681.17,0.0,16348.08,USA
2024-01-28,38,Ladder Shelf,61,273.93,0.0,16709.73,USA
2024-01-28,39,Bookcase,10,1036.9,0.0,10369.0,USA
2024-01-28,40,Vanity Table,40,151.06,0.0,6042.4,USA
2024-01-28,41,Makeup Chair,36,1120.4,0.0,40334.4,USA
2024-01-28,42,Chest of Drawers,27,546.55,22.04,11504.44,USA
2024-01-28,43,Entryway Table,63,972.67,20.15,48930.65,USA
2024-01-28,44,Hall Tree,32,1862.58,25.77,44242.98,USA
2024-01-28,45,Gaming Chair,58,1869.23,0.0,108415.34,USA
2024-01-28,46,Bean Bag,49,179.67,0.0,8803.83,USA
2024-01-28,47,Murphy Bed,51,322.56,0.0,16450.56,USA
2024-01-28,48,Plant Stand,27,1659.01,0.0,44793.27,USA
2024-01-28,49,Shoe Rack,52,1069.98,13.97,47866.2,USA
2024-01-28,50,Coat Rack,64,1381.82,16.3,74021.33,USA
2024-02-04,1,Sofa,22,952.23,12.53,18324.14,USA
2024-02-04,2,Dining Table,6,1176.1,0.0,7056.6,USA
2024-02-04,3,Chair,10,1109.93,0.0,11099.3,USA
2024-02-04,4,Bed Frame,19,1882.67,0.0,35770.73,USA
2024-02-04,5,Nightstand,37,1763.33,17.39,53897.42,USA
2024-02-04,6,Bookshelf,41,1587.76,0.0,65098.16,USA
2024-02-04,7,TV Stand,6,1568.22,0.0,9409.32,USA
2024-02-04,8,Coffee Table,42,1536.79,0.0,64545.18,USA
2024-02-04,9,Recliner,19,1096.14,0.0,20826.66,USA
2024-02-04,10,Dresser,16,1604.73,0.0,25675.68,USA
2024-02-04,11,Wardrobe,40,1555.17,0.0,62206.8,USA
2024-02-04,12,Office Desk,15,1108.31,0.0,16624.65,USA
2024-02-04,13,Computer Chair,27,1920.2,0.0,51845.4,USA
2024-02-04,14,Futon,17,950.91,0.0,16165.47,USA
2024-02-04,15,End Table,44,321.28,0.0,14136.32,USA
2024-02-04,16,Bar Stool,8,1750.64,0.0,14005.12,USA
2024-02-04,17,Patio Set,32,1590.67,0.0,50901.44,USA
2024-02-04,18,Sideboard,18,780.15,0.0,14042.7,USA
2024-02-04,19,Loveseat,41,1872.02,0.0,76752.82,USA
2024-02-04,20,Chaise Lounge,5,1970.44,0.0,9852.2,USA
2024-02-04,21,Sectional Sofa,25,1746.3,0.0,43657.5,USA
2024-02-04,22,File Cabinet,30,789.65,0.0,23689.5,USA
2024-02-04,23,Console Table,15,700.32,0.0,10504.8,USA
2024-02-04,24,Bench,31,1849.77,0.0,57342.87,USA
2024-02-04,25,Hutch,28,931.82,0.0,26090.96,USA
2024-02-04,26,Buffet,37,1176.38,0.0,43526.06,USA
2024-02-04,27,Storage Ottoman,32,756.67,0.0,24213.44,USA
2024-02-04,28,Accent Chair,54,464.73,17.88,20608.36,USA
2024-02-04,29,Bunk Bed,44,339.89,0.0,14955.16,USA
2024-02-04,30,Mattress,27,1029.28,0.0,27790.56,USA
2024-02-04,31,Headboard,34,882.24,0.0,29996.16,USA
2024-02-04,32,Room Divider,44,421.84,0.0,18560.96,USA
2024-02-04,33,Floating Shelves,7,1195.53,12.35,7335.17,USA
2024-02-04,34,Kitchen Island,8,1092.19,0.0,8737.52,USA
2024-02-04,35,Rolling Cart,43,404.76,26.54,12785.48,USA
2024-02-04,36,Foldable Table,37,580.99,0.0,21496.63,USA
2024-02-04,37,Standing Desk,39,99.5,8.9,3535.14,USA
2024-02-04,38,Ladder Shelf,27,845.57,0.0,22830.39,USA
2024-02-04,39,Bookcase,41,1360.19,0.0,55767.79,USA
2024-02-04,40,Vanity Table,38,398.16,0.0,15130.08,USA
2024-02-04,41,Makeup Chair,47,1620.36,0.0,76156.92,USA
2024-02-04,42,Chest of Drawers,18,1927.17,0.0,34689.06,USA
2024-02-04,43,Entryway Table,11,621.64,0.0,6838.04,USA
2024-02-04,44,Hall Tree,23,1485.01,0.0,34155.23,USA
2024-02-04,45,Gaming Chair,10,1186.93,15.54,10024.81,USA
2024-02-04,46,Bean Bag,27,716.54,0.0,19346.58,USA
2024-02-04,47,Murphy Bed,34,116.74,0.0,3969.16,USA
2024-02-04,48,Plant Stand,26,757.38,0.0,19691.88,USA
2024-02-04,49,Shoe Rack,27,1570.53,0.0,42404.31,USA
2024-02-04,50,Coat Rack,18,1609.72,0.0,28974.96,USA
2024-02-11,1,Sofa,13,1496.29,0.0,19451.77,USA
2024-02-11,2,Dining Table,39,321.74,25.87,9301.73,USA
2024-02-11,3,Chair,22,384.77,0.0,8464.94,USA
2024-02-11,4,Bed Frame,38,1082.84,0.0,41147.92,USA
2024-02-11,5,Nightstand,32,1130.65,21.29,28477.91,USA
2024-02-11,6,Bookshelf,35,257.83,0.0,9024.05,USA
2024-02-11,7,TV Stand,11,1754.09,0.0,19294.99,USA
2024-02-11,8,Coffee Table,6,1167.92,0.0,7007.52,USA
2024-02-11,9,Recliner,40,374.25,0.0,14970.0,USA
2024-02-11,10,Dresser,18,1553.42,6.71,26085.34,USA
2024-02-11,11,Wardrobe,39,743.56,0.0,28998.84,USA
2024-02-11,12,Office Desk,31,1901.15,14.92,50142.45,USA
2024-02-11,13,Computer Chair,24,1478.52,0.0,35484.48,USA
2024-02-11,14,Futon,58,365.93,26.04,15697.23,USA
2024-02-11,15,End Table,13,351.61,0.0,4570.93,USA
2024-02-11,16,Bar Stool,47,196.52,0.0,9236.44,USA
2024-02-11,17,Patio Set,41,1216.66,0.0,49883.06,USA
2024-02-11,18,Sideboard,16,54.56,0.0,872.96,USA
2024-02-11,19,Loveseat,25,753.9,7.29,17473.52,USA
2024-02-11,20,Chaise Lounge,20,1902.96,0.0,38059.2,USA
2024-02-11,21,Sectional Sofa,32,1752.24,23.31,43001.37,USA
2024-02-11,22,File Cabinet,26,1462.0,20.93,30056.09,USA
2024-02-11,23,Console Table,58,1004.38,10.53,52119.89,USA
2024-02-11,24,Bench,21,1356.34,0.0,28483.14,USA
2024-02-11,25,Hutch,21,402.12,19.2,6823.17,USA
2024-02-11,26,Buffet,12,285.02,0.0,3420.24,USA
2024-02-11,27,Storage Ottoman,34,1943.56,0.0,66081.04,USA
2024-02-11,28,Accent Chair,43,157.02,0.0,6751.86,USA
2024-02-11,29,Bunk Bed,49,122.16,0.0,5985.84,USA
2024-02-11,30,Mattress,27,200.06,0.0,5401.62,USA
2024-02-11,31,Headboard,33,177.44,0.0,5855.52,USA
2024-02-11,32,Room Divider,49,1340.23,0.0,65671.27,USA
2024-02-11,33,Floating Shelves,46,1250.93,0.0,57542.78,USA
2024-02-11,34,Kitchen Island,22,1981.17,0.0,43585.74,USA
2024-02-11,35,Rolling Cart,39,1881.18,24.97,55046.52,USA
2024-02-11,36,Foldable Table,20,1546.02,0.0,30920.4,USA
2024-02-11,37,Standing Desk,34,1753.67,29.6,41975.85,USA
2024-02-11,38,Ladder Shelf,8,705.92,18.06,4627.45,USA
2024-02-11,39,Bookcase,26,961.26,12.43,21886.16,USA
2024-02-11,40,Vanity Table,19,505.54,0.0,9605.26,USA
2024-02-11,41,Makeup Chair,16,884.16,0.0,14146.56,USA
2024-02-11,42,Chest of Drawers,10,1915.01,0.0,19150.1,USA
2024-02-11,43,Entryway Table,17,1965.54,0.0,33414.18,USA
2024-02-11,44,Hall Tree,12,1978.91,0.0,23746.92,USA
2024-02-11,45,Gaming Chair,49,1888.33,0.0,92528.17,USA
2024-02-11,46,Bean Bag,45,284.66,0.0,12809.7,USA
2024-02-11,47,Murphy Bed,9,413.55,0.0,3721.95,USA
2024-02-11,48,Plant Stand,24,1278.07,0.0,30673.68,USA
2024-02-11,49,Shoe Rack,22,1990.07,0.0,43781.54,USA
2024-02-11,50,Coat Rack,50,1407.24,8.85,64134.96,USA
2024-02-18,1,Sofa,8,1264.73,0.0,10117.84,USA
2024-02-18,2,Dining Table,8,1181.17,7.29,8760.5,USA
2024-02-18,3,Chair,38,582.27,0.0,22126.26,USA
2024-02-18,4,Bed Frame,9,1731.15,0.0,15580.35,USA
2024-02-18,5,Nightstand,42,1483.66,0.0,62313.72,USA
2024-02-18,6,Bookshelf,10,556.52,0.0,5565.2,USA
2024-02-18,7,TV Stand,20,1926.14,7.74,35541.14,USA
2024-02-18,8,Coffee Table,33,1709.85,0.0,56425.05,USA
2024-02-18,9,Recliner,44,1817.7,0.0,79978.8,USA
2024-02-18,10,Dresser,27,1153.18,11.68,27499.19,USA
2024-02-18,11,Wardrobe,45,1742.91,0.0,78430.95,USA
2024-02-18,12,Office Desk,48,701.32,10.97,29970.49,USA
2024-02-18,13,Computer Chair,47,1256.29,0.0,59045.63,USA
2024-02-18,14,Futon,55,1924.56,16.64,88237.23,USA
2024-02-18,15,End Table,42,301.3,13.38,10961.41,USA
2024-02-18,16,Bar Stool,19,52.18,18.9,804.04,USA
2024-02-18,17,Patio Set,45,62.45,0.0,2810.25,USA
2024-02-18,18,Sideboard,28,1282.04,0.0,35897.12,USA
2024-02-18,19,Loveseat,11,1646.42,0.0,18110.62,USA
2024-02-18,20,Chaise Lounge,19,1105.47,0.0,21003.93,USA
2024-02-18,21,Sectional Sofa,43,1867.45,7.56,74229.64,USA
2024-02-18,22,File Cabinet,16,1553.17,0.0,24850.72,USA
2024-02-18,23,Console Table,30,181.33,0.0,5439.9,USA
2024-02-18,24,Bench,39,195.65,26.31,5622.8,USA
2024-02-18,25,Hutch,16,919.62,0.0,14713.92,USA
2024-02-18,26,Buffet,19,97.94,0.0,1860.86,USA
2024-02-18,27,Storage Ottoman,38,1646.63,0.0,62571.94,USA
2024-02-18,28,Accent Chair,17,583.57,0.0,9920.69,USA
2024-02-18,29,Bunk Bed,18,1715.71,18.18,25268.29,USA
2024-02-18,30,Mattress,26,480.5,0.0,12493.0,USA
2024-02-18,31,Headboard,38,306.1,26.7,8526.11,USA
2024-02-18,32,Room Divider,28,1475.98,27.74,29863.21,USA
2024-02-18,33,Floating Shelves,6,825.31,11.86,4364.57,USA
2024-02-18,34,Kitchen Island,46,675.45,23.11,23890.26,USA
2024-02-18,35,Rolling Cart,19,110.71,0.0,2103.49,USA
2024-02-18,36,Foldable Table,29,969.49,0.0,28115.21,USA
2024-02-18,37,Standing Desk,13,1743.82,24.41,17136.0,USA
2024-02-18,38,Ladder Shelf,7,1271.13,0.0,8897.91,USA
2024-02-18,39,Bookcase,11,411.64,0.0,4528.04,USA
2024-02-18,40,Vanity Table,42,294.11,0.0,12352.62,USA
2024-02-18,41,Makeup Chair,6,489.8,0.0,2938.8,USA
2024-02-18,42,Chest of Drawers,12,1605.24,0.0,19262.88,USA
2024-02-18,43,Entryway Table,35,955.97,0.0,33458.95,USA
2024-02-18,44,Hall Tree,50,1457.68,21.42,57272.25,USA
2024-02-18,45,Gaming Chair,54,1820.25,23.11,75577.87,USA
2024-02-18,46,Bean Bag,20,521.99,0.0,10439.8,USA
2024-02-18,47,Murphy Bed,44,990.59,0.0,43585.96,USA
2024-02-18,48,Plant Stand,37,69.05,0.0,2554.85,USA
2024-02-18,49,Shoe Rack,36,1770.94,7.06,59252.82,USA
2024-02-18,50,Coat Rack,19,824.0,0.0,15656.0,USA
2024-02-25,1,Sofa,15,440.29,0.0,6604.35,USA
2024-02-25,2,Dining Table,13,292.23,0.0,3798.99,USA
2024-02-25,3,Chair,14,151.34,18.53,1726.15,USA
2024-02-25,4,Bed Frame,13,1897.33,20.63,19576.84,USA
2024-02-25,5,Nightstand,26,1338.6,0.0,34803.6,USA
2024-02-25,6,Bookshelf,46,932.02,0.0,42872.92,USA
2024-02-25,7,TV Stand,16,905.28,0.0,14484.48,USA
2024-02-25,8,Coffee Table,40,361.11,0.0,14444.4,USA
2024-02-25,9,Recliner,36,1501.34,0.0,54048.24,USA
2024-02-25,10,Dresser,31,1021.48,18.88,25687.36,USA
2024-02-25,11,Wardrobe,32,698.01,0.0,22336.32,USA
2024-02-25,12,Office Desk,19,439.11,0.0,8343.09,USA
2024-02-25,13,Computer Chair,42,552.48,16.57,19359.23,USA
2024-02-25,14,Futon,32,861.02,0.0,27552.64,USA
2024-02-25,15,End Table,36,773.53,0.0,27847.08,USA
2024-02-25,16,Bar Stool,40,1196.71,0.0,47868.4,USA
2024-02-25,17,Patio Set,46,1753.18,0.0,80646.28,USA
2024-02-25,18,Sideboard,7,1984.66,0.0,13892.62,USA
2024-02-25,19,Loveseat,46,1264.78,20.79,46084.28,USA
2024-02-25,20,Chaise Lounge,46,1563.2,0.0,71907.2,USA
2024-02-25,21,Sectional Sofa,9,513.21,0.0,4618.89,USA
2024-02-25,22,File Cabinet,18,184.81,0.0,3326.58,USA
2024-02-25,23,Console Table,10,1053.89,0.0,10538.9,USA
2024-02-25,24,Bench,39,1321.64,0.0,51543.96,USA
2024-02-25,25,Hutch,48,1330.64,13.13,55484.49,USA
2024-02-25,26,Buffet,7,1941.15,0.0,13588.05,USA
2024-02-25,27,Storage Ottoman,16,911.95,0.0,14591.2,USA
2024-02-25,28,Accent Chair,47,1666.32,0.0,78317.04,USA
2024-02-25,29,Bunk Bed,32,1899.74,0.0,60791.68,USA
2024-02-25,30,Mattress,41,121.51,0.0,4981.91,USA
2024-02-25,31,Headboard,19,1574.49,0.0,29915.31,USA
2024-02-25,32,Room Divider,18,1138.37,0.0,20490.66,USA
2024-02-25,33,Floating Shelves,39,161.32,18.28,5141.4,USA
2024-02-25,34,Kitchen Island,9,1298.01,0.0,11682.09,USA
2024-02-25,35,Rolling Cart,24,251.45,0.0,6034.8,USA
2024-02-25,36,Foldable Table,38,1973.93,0.0,75009.34,USA
2024-02-25,37,Standing Desk,47,680.1,0.0,31964.7,USA
2024-02-25,38,Ladder Shelf,49,1003.25,0.0,49159.25,USA
2024-02-25,39,Bookcase,14,329.91,28.5,3302.4,USA
2024-02-25,40,Vanity Table,36,1941.33,0.0,69887.88,USA
2024-02-25,41,Makeup Chair,5,507.39,0.0,2536.95,USA
2024-02-25,42,Chest of Drawers,22,1684.32,0.0,37055.04,USA
2024-02-25,43,Entryway Table,16,1254.8,0.0,20076.8,USA
2024-02-25,44,Hall Tree,6,270.56,24.89,1219.31,USA
2024-02-25,45,Gaming Chair,9,470.57,0.0,4235.13,USA
2024-02-25,46,Bean Bag,10,1175.51,0.0,11755.1,USA
2024-02-25,47,Murphy Bed,20,670.32,26.66,9832.25,USA
2024-02-25,48,Plant Stand,9,1575.65,19.18,11460.96,USA
2024-02-25,49,Shoe Rack,27,1318.5,24.13,27009.34,USA
2024-02-25,50,Coat Rack,27,1625.3,24.06,33324.83,USA
2024-03-03,1,Sofa,11,1744.36,0.0,19187.96,USA
2024-03-03,2,Dining Table,11,61.23,0.0,673.53,USA
2024-03-03,3,Chair,37,1148.71,0.0,42502.27,USA
2024-03-03,4,Bed Frame,30,513.21,0.0,15396.3,USA
2024-03-03,5,Nightstand,6,1194.77,0.0,7168.62,USA
2024-03-03,6,Bookshelf,7,953.81,14.49,5709.22,USA
2024-03-03,7,TV Stand,16,984.4,0.0,15750.4,USA
